"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Templates","0","Template Discovery","6","0","Category Counts","0"
"0","Project Dashboard","0","Workspace Management","1","0","Create Workspace","0"
"0","Project Editor","0","Element Manipulation","1","0","Add Element","0"
"0","Configuration","0","Funnel Settings","10","0","General Settings","0"
"0","Project Editor","0","Element Properties","1","0","Toggle Element Visibility","0"
"0","","0","","2","5","","0"
"0","Project Editor","0","Element Properties","3","0","Edit Element Content","0"
"0","Project Dashboard","0","Funnel Creation","1","0","Create with AI","0"
"0","Project Dashboard","0","Funnel Management","1","0","Duplicate Funnel","0"
"0","Templates","0","Template Discovery","3","0","Search and Filter Templates","0"
"0","Project Dashboard","0","Funnel Creation","1","0","Create from Template","0"
"0","Preview","0","Content Elements","4","0","Interactive Elements","0"
"0","Project Editor","0","Element Properties","1","0","Change Element Layout","0"
"0","Project Dashboard","0","Funnel Management","1","0","Search Funnel","0"
"0","Maintenance","0","Environment Setup/Teardown","1","0","Clean Workspace Environment","0"
"0","Project Editor","0","Element Manipulation","1","0","Add Element via Drag and Drop","0"
"0","Project Dashboard","0","Funnel Management","1","0","Sort Funnels","0"
"0","Project Dashboard","0","Funnel Management","1","0","Delete All Funnels","0"
"0","Project Dashboard","0","Workspace Management","1","0","Rename Workspace","0"
"0","Project Editor","0","Element Properties","1","0","Edit Element Range","0"
"0","Project Editor","0","Funnel Pages","1","0","Edit Page Name","0"
"0","Project Editor","0","Element Manipulation","1","0","Add and Delete Elements","0"
"0","Project Dashboard","0","Dashboard Loading","1","0","Verify Page Title","0"
"0","Project Editor","0","Element Properties","1","0","Change Element Type","0"
"0","Project Editor","0","Element Properties","1","0","Change Element Display","0"
"0","Project Dashboard","0","Workspace Management","1","0","Delete Workspace","0"
"0","Templates","0","Template Discovery","3","0","Template Preview","0"
"0","End-to-End Tests","0","Funnel Page Management","1","0","Page Manipulation in Editor","0"
"0","Project Editor","0","Funnel Pages","1","0","Delete Page","0"
"0","Project Dashboard","0","Funnel Management","1","0","Publish Funnel","0"
"0","Project Editor","0","Funnel Pages","1","0","Add Page","0"
"0","Project Dashboard","0","Funnel Management","1","0","Move Funnel","0"
"0","End-to-End Tests","0","Core Funnel Workflow","1","0","Successful Funnel Creation and Publication","0"
"0","Project Dashboard","0","Funnel Creation","1","0","Create from Scratch","0"
"0","Project Editor","0","Page Loading","1","0","Verify Page Title","0"
"0","Project Editor","0","Element Manipulation","1","0","Bulk Add and Delete Elements","0"
